번호,문제,보기,정답,해설
1,니카우는 현재 뉴질랜드에 위치한 고래 연구 센터에서 일하고 있다.,(T / F),F ," 니카우는 뉴질랜드 출신이지만, 현재 일하고 있는 고래 연구 센터는 '쿡 제도'에 있습니다."
2,니카우는 혹등고래가 바다에서 가장 경이로운 동물이라고 생각한다. ,(T / F),T ,니카우는 혹등고래가 바다에서 가장 놀라운 동물이라고 생각하며 이를 기록하기 위해 일기를 씁니다.
3,연구팀은 태그를 사용하여 혹등고래의 노래를 수년 동안 녹음해 왔다. ,(T / F),F  ,혹등고래의 노래는 30분(up to 30 minutes)까지만 지속됩니다.
4,니카우는 고래를 지속해서 관찰하는 일이 가끔 지루해질 때가 있다고 생각한다.,(T / F),F  ,니카우는 고래를 관찰하는 것은 결코 지루해지지 않는다고 직접적으로 언급했습니다.
5,"혹등고래가 다른 바다 동물을 돕는 일은 종종 있지만, 니카우는 고래가 자신의 생명을 구해줄 것이라고는 전혀 예상하지 못했다.",(T / F),T ,"혹등고래가 가끔 다른 바다 동물을 돕기는 하지만, 니카우는 고래가 자신의 목숨을 구해줄 것이라고는 전혀 예상하지 못했다(never expected them to save my life)고 말했습니다."
6,8월 5일 해안가에서 발견된 죽은 혹등고래는 상어의 공격을 받아 상처를 입고 죽은 것이었다. ,(T / F),F ,해안가에서 죽은 채 발견된 고래의 위에는 비닐봉지와 그물(plastic bags and fishing nets)이 아주 많이 들어 있었습니다. 상어 공격으로 인한 죽음이 아닙니다.
7,"혹등고래들이 남극해에서 6,500km를 이동해 온 주된 이유는 무엇인가요? ",① 먹이를 찾기 위해 ② 새끼를 낳기 위해 ③ 상어를 피하기 위해 ④ 따뜻한 물에서 수영하기 위해,② ,"새끼를 낳기 위해 혹등고래들은 새끼를 낳기 위해남극해에서 약 6,500km를 이동해 왔습니다."
8,"7월 1일, 배 가까이 다가온 혹등고래들은 어떤 행동을 했나요?",① 배를 공격하려고 했다. ② 잠시 놀다가 물 위로 높이 뛰어오르며 큰 물보라를 일으켰다. ③ 아름다운 노래를 부르며 배를 따라왔다. ④ 아무런 반응 없이 깊은 바다로 잠수했다.,② ,잠시 놀다가 물 위로 높이 뛰어오르며 큰 물보라를 일으켰다. 고래들은 배 가까이 다가와 잠시 놀다가 갑자기 높이 뛰어오르며 큰 물보라를 일으켰습니다
9,"7월 17일 일기에 따르면, 니카우는 혹등고래의 등에 조심스럽게 태그(tag)를 부착하기 위해 무엇을 날렸나요?",① 헬리콥터 ② 드론 ③ 기상 관측 기구 ④ 소형 비행기,② ,니카우는 고래에게 태그를 부착하기 위해 드론을 날렸습니다.
10,본문에 나타난 고래 노래의 특징으로 알맞게 짝지어진 것은 무엇인가요?,① 최대 10분 지속 - 수백 킬로미터 이동 ② 최대 30분 지속 - 수천 킬로미터 이동 ③ 최대 1시간 지속 - 수백 킬로미터 이동 ④ 최대 2시간 지속 - 수천 킬로미터 이동,②  ,"혹등고래의 노래는 최대 30분 동안 지속되며, 물속에서 수천 킬로미터를 이동할 수 있습니다."
11,혹등고래의 노래에 대해 본문에서 언급된 사실과 다른 것은 무엇인가요?,① 물속에서 수천 킬로미터까지 전달될 수 있다. ② 소리가 매우 아름답다. ③ 과학자들은 이 노래에 대해 이미 많은 것을 알고 있다. ④ 수년간 태그를 통해 노래가 녹음되어 왔다.,③ ,"과학자들은 이 노래에 대해 이미 많은 것을 알고 있다. 본문에서는 고래의 노래가 아름답지만, 우리는 아직 그것에 대해 아는 것이 많지 않다"
12,8월 2일 일기에서 혹등고래가 니카우를 물 밖으로 계속 밀어낸 진짜 이유는 무엇이었나요? ,① 수중 촬영을 방해하기 위해서 ② 다가오는 뱀상어(tiger shark)로부터 니카우를 구해주기 위해서 ③ 니카우와 장난을 치기 위해서 ④ 사람이 바다에 있는 것을 싫어해서,② ,"다가오는 뱀상어(tiger shark)로부터 니카우를 구해주기 위해서 누군가 보트에서 뱀상어가 다가오고 있다고 소리쳤으며, 니카우는 혹등고래가 자신을 구하려고(trying to save me) 밀어냈다는 사실을 깨달았습니다"
13,8월 5일 해안가에서 발견된 죽은 혹등고래의 위(stomach) 안에서 발견된 것은 무엇인가요?,① 플라스틱 병과 유리 조각 ② 죽은 작은 물고기와 해초  ③ 비닐봉지와 낚시 그물 ④ 버려진 타이어와 밧줄,③ ,죽은 혹등고래의 위에서는 아주 많은 비닐봉지와 낚시 그물들이 발견되었습니다.
14,본문에서 고래와 바다 동물들에게 가장 큰 위협(the greatest danger)이 되는 것은 무엇이라고 언급했나요? ,① 뱀상어 ② 해수면 상승 ③ 인간의 활동 ④ 부족한 먹이,③  ,본문은 인간의 활동(Human activities)이 고래에게 가장 큰 위협(the greatest danger)이라고 지적하고 있습니다.
15,니카우가 마지막 일기에서 밝힌 인간과 바다 동물에 대한 궁극적인 바람(소망)은 무엇인가요?,① 더 많은 고래 보호 구역이 지정되는 것 ② 인간과 바다 동물이 조화롭게 사는 것 ③ 상어로부터 고래를 완벽하게 보호하는 것 ④ 고래의 모든 노래를 녹음하여 해독하는 것 ,② ,"니카우는 바다가 고래와 바다 동물들의 집이라고 말하며, 인간과 바다 동물이 조화롭게 살기를 바란다고 적었습니다."
